"(21/16, 0, -9/16, 3/16, 3/8, 0, 0, 0, 3/16, 9/8, 9/8, -3/4, 0, 0, 9/16, -3/16, -9/16, -9/16, -3/16, 0, -3/16, 0, 0, 0, -3/16, -3/8, 3/8, 0, 3/16, -3/16, 0, 0, 3/16, 0, -3/16, 0, 0, 3/16, 0, 0, 0, 3/16, 0, 0, 0, 9/16, 3/8, -3/16, -3/8, -3/16, 3/16, 0, 21/16, 3/4, 3/8, 9/16, -21/16, -3/8, 0, -3/8, 3/16, 15/16, 9/16, 3/16, 3/16, -3/8, 3/16, 3/8, 0, -3/16, -3/16, -3/8, 3/16, 3/16, 3/4, 3/4, 3/8, 15/16, 0, 3/8, 3/8, -3/8, 0, 15/16, 3/8, -3/8, -3/4, -3/16, 0, 9/16, 3/16, -3/16, -3/16, -9/8, 9/16, 3/4, 0, -3/16, -3/16, 3/8, 0, -3/16, -3/8, 3/16, 0, -3/4, 0, 3/8, 3/8, 3/4, 9/16, 0, -9/16, 0, 3/4, 0, 0, 0, 0, -3/16, -3/8, 0, 3/8, 9/8, 9/16, 9/16, 9/8, 0, -3/8, -21/16, 3/16, 3/8, 3/8, 3/16, 15/16, 3/8, 3/8, -3/16, -9/16, -3/16, 3/16, 0, 0, -9/16, -3/16, -3/8, 0, 3/16, 9/16, 3/16, 3/16, 3/4, 0, -3/16, -3/16, 3/8, 3/8, 9/16, 3/8, 3/8, 3/16, 0, 3/4, 0, 0, 9/8, -3/4, 3/16, -9/8, -15/16, -3/16, -3/4, 3/4, 3/8, -3/16, 3/8, 3/4, 0, 0, -3/16, -3/16, -9/16, -9/16, 3/16, 0, -3/4, -3/8, 0, 0, 0, 3/16, -3/8, -3/16, 0, -15/16, 0, 0, 3/8, 0, -3/8, 3/8, -9/16, 3/4, 15/16, -3/8, -9/16, 3/8, -9/16, 3/8, 0, 0, 0, -9/8, -9/16, 0, -3/16, 3/16, -3/16, 3/2, 3/16, 15/16, -15/16, -9/16, 3/8, -3/16, -39/16, -3/16, -3/4, 27/8, -3/8, -9/8, 0, 3/16, 3/16, -3/8, -3/8, -3/4, 3/16, 0, 0, -9/8, -3/8, 3/16, 0, -3/4, 0, 3/4, 0, 0, 3/16, 9/8, 0, 0, 0, -3/8, -9/16, 15/16, 3/16, 3/4, 3/16, 0, 3/4, 0, 0, -9/8, 3/8, 0, 0, -3/16, -3/16, -3/16, -3/16, 0, 0, 3/16, -3/8, -3/16, 3/8, -3/16, -3/16, -9/16, 0, 3/16, -3/16, 0, 3/8, 0, 15/16, -3/8, -3/16, -15/16, -3/4, 0, 0, 3/16, 9/16, 3/16, -3/8, 0, 3/4, 0, 0, 0, -9/16, 9/16, -9/16, 0, 3/8, -3/4, -3/8, 3/16, -3/16, -9/16, 0, 21/16, 9/16, 3/8, 0, -9/8, -3/4, -15/16, 0, -3/8, 3/16, -15/16, 0, 3/16, -15/16, 0, 15/16, 3/4, 3/16, 0, 3/16, 21/16, 3/4, -3/16, 0, 3/4, -3/2, 3/16, -3/16, 0, -3/16, -3/16, -3/16, -3/16, -3/8, -3/16, 3/2, -3/16, 3/16, -3/16, 0, -3/8, 9/16, 0, 0, -3/16, -9/4, -3/16, 15/8, 3/16, 3/16, -9/4, -3/16, 0, -39/16, -3/16, -3/8, 9/16, 0, 0, -3/8, -3/4, 0, 3/8, -3/16, -9/16, 0, 15/16, 3/16, 3/8, -3/8, 3/8, 3/4, -9/16, 3/8, 3/8, 3/4, -3/4, 0, 3/16, 3/4, 3/16, -3/8, -9/16, -3/8, 3/16, 3/8, 0, 9/16, 3/16, 3/16, -3/8, 3/8, 0, 3/16, 0, 3/16, 3/16, 3/8, 0, 0, 0, 3/8, -3/16, 0, 9/8, 0, 21/16, -3/16, 3/16, -3/8, -3/8, 21/16, 9/8, -3/8, -3/8, -3/4, -3/4, 3/8, -3/16, 3/16, 3/8, -3/8, -3/4, 0, 9/16, 9/16, 3/8, -9/16, -3/8, 3/4, -9/16, 0, 9/16, 0, 0, 3/8, -15/8, -3/16, 3/4, -9/16, 0, -9/8, 0, 0, -3/4, -3/16, 3/16, 15/16, 3/8, -3/8, 3/16, 3/16, 15/16, 0, -3/16, -21/16, -3/16, -3/16, 9/16, -3/16, -3/16, -3/16, 0, 9/16, 3/16, 0, -3/16, 0, -3/8, 3/16, -3/8, -3/2, 3/16, 0, -9/16, -3/16, -3/16, -3/8, 3/16, -21/8, -3/8)",4421,4420,4419,370,66231/4096,-119,-1,4
"(-2/7, 5/7, -6/7, 2/7, -3/7, -4/7, 0, 3/7, -1/7, 2/7, 9/7, -4/7, 5/7, 6/7, -2/7, 2/7, -1/7, -17/7, 5/7, -2/7, -3/7, -1/7, -3/7, -1/7, -3/7, 2/7, 1/7, -1/7, -1, 1/7, -2/7, 2/7, -5/7, 2/7, -4/7, -1/7, 0, -2/7, 4/7, 6/7, -5/7, -2/7, -3/7, -2/7, 10/7, -2/7, 1/7, -1/7, 1/7, 1/7, 1/7, -2/7, -1/7, 2/7, -1/7, 1/7, -1/7, 0, -1/7, -1/7, -1/7, 0, 1/7, -5/7, 2/7, 3/7, 0, 1/7, 1/7, 2/7, 0, 0, 0, -2/7, 0, 0, -2/7, 0, -1/7, 0, 0, -3/7, 1/7, -1/7, 1/7, -6/7, 3/7, 0, 1/7, 0, -3/7, 2/7, -3/7, -1/7, 0, 0, 1/7, 2/7, -3/7, 0, 1/7, 1/7, 1/7, 2/7, 0, -2/7, 0, 0, 4/7, -3/7, 1/7, 0, -4/7, -9/7, 6/7, -4/7, -1/7, -1/7, 2/7, -2/7, 0, 0, -4/7, 2/7, -6/7, -1/7, 4/7, 8/7, 1/7, -4/7, 2/7, 1/7, 5/7, 3/7, 1/7, 0, 3/7, -2/7, -1/7, 8/7, -5/7, -4/7, -9/7, -4/7, 2/7, -1/7, 0, 1/7, 0, 1/7, 0, 0, -1/7, 0, 12/7, -1/7, 1/7, 0, 1/7, 2/7, 0, 4/7, 1/7, 0, 3/7, 2/7, -2/7, -1/7, -2/7, -1/7, 0, 1/7, 1/7, 4/7, 3/7, 2/7, 1/7, 2/7, 1/7, 3/7, 0, -3/7, -2/7, -4/7, 5/7, -5/7, 2/7, 0, -1/7, 0, 2/7, 0, 1/7, 2/7, 1/7, 0, -1/7, -1/7, -4/7, 0, -3/7, 6/7, 1, 3/7, 4/7, 3/7, -1/7, 3/7, 1/7, 0, -2/7, 2/7, -3/7, 3/7, 0, 0, -1/7, 1/7, -5/7, 0, -2/7, -1/7, 0, 1/7, -1/7, -1/7, 2/7, -1, 5/7, -8/7, -5/7, -5/7, -6/7, -6/7, 6/7, 3/7, -2/7, 2/7, 3/7, 2/7, 1/7, 1/7, -2/7, 0, 1/7, -2/7, -1/7, -2, -1/7, 3/7, 1/7, 1/7, 0, -1/7, -1/7, -1/7, -2/7, 9/7, 2/7, 3/7, 2/7, -3/7, 4/7, 6/7, -2/7, 1/7, -1/7, -2/7, 2/7, 3/7, -2/7, 0, -1/7, -6/7, 8/7, -1/7, 1/7, 0, -2/7, -1, 6/7, 1/7, -3/7, 2/7, 5/7, -1/7, 1/7, 0, 2/7, 0, 0, 1/7, 1/7, 0, -2/7, 1/7, 2/7, -1/7, 0, -1/7, 0, 1/7, 0, 0, 0, 0, 0, 0, 1/7, 0, 0, 0, 2/7, -3/7, 0, -2/7, -3/7, -2/7, 0, -1/7, -1/7, 0, 0, 0, 0, 0, -1/7, 1/7, 0, 1/7, 1/7, -1/7, 0, 0, 1/7, 0, 1/7, 0, 1/7, 0, 2/7, 0, -1/7, 4/7, -2/7, -2/7, 1, 1/7, -2/7, 0, 0, -1/7, 0, 1/7, 0, 0, -1/7, 1/7, 2/7, 0, 0, 0, 0, 0, 2/7, -1/7, 0, -1/7, 2/7, -1/7, -1/7, 2/7, -10/7, 1/7, 1, -2/7, 2/7, -2/7, -3/7, -1/7, -1/7, 0, 1/7, 1/7, -4/7, -1/7, 0, -2/7, 4/7, -10/7, 1/7, 0, 0, 0, -1/7, 1/7, 0, -1/7, 1/7, 4/7, 0, 0, 6/7, 1/7, 1, 0, 0, 0, 0, 1/7, 0, 1/7, 1/7, 2/7, -3/7, 0, 0, 0, 0, 0, 0, 1/7, 0, 1/7, -5/7, -4/7, -3/7, -2/7, 1/7, 1/7, 2/7, 1/7, 4/7, -2/7, 2/7, 1/7, 0, 8/7, 1/7, 11/7, 0, 1/7, 1/7, 1/7, 3/7, 1/7, 0, -1/7, 1/7, 0, -1/7, 0, 1/7, -2/7, 1/7, 0, 3/7, 3/7, 0, -2/7, 1/7, -3/7, -2/7, -1/7, -1/7, 0, 1/7, -1/7, 1/7, 1/7, 1/7, -1/7, -2/7, 2/7, -3/7, 6/7, -3/7, -1, 1/7, 4/7, 0, 0, 0, -2/7, 1/7, -3/7, 0, -2/7, 0, -2/7, 0, 1/7, 2/7, 0, 0)",4674,4673,4672,370,-283/343,-109,-1,4
"(0, 7, 7/3, 0, -14/3, -7, -7, -28/3, -14/3, -28/3, 49/3, 7/3, 14/3, 35/3, 7, 14/3, 7, -7, 7, 7/3, 7/3, 7/3, 7/3, 0, -35/3, -14/3, 7, 7, -14/3, 21, 7, -28/3, -14/3, 7/3, -14/3, -7/3, 0, 14/3, 7/3, -7, -14/3, -7, 0, 0, 7/3, 14/3, -7/3, -7/3, -14/3, 14, 7/3, -7/3, -35/3, 7, -7/3, -7/3, 0, 14/3, -7, 0, 28/3, 7/3, 35/3, 7/3, 7/3, -7/3, -14/3, -7/3, 0, -7/3, 0, 7/3, -7/3, 0, 0, -14/3, -14/3, 14, 28/3, 14/3, -7/3, -28/3, 7, -14/3, -35/3, -21, 7/3, 0, -7, -14, -28/3, 0, 0, 0, 7/3, 7, 14/3, -14/3, 7/3, 14/3, 14/3, 7/3, 0, -7, 0, 7/3, 0, -7, 14/3, -7/3, 7/3, -7/3, -28/3, 7, 0, -14/3, 0, 0, -14/3, -7/3, 0, 14/3, 0, 7/3, 0, 0, 28/3, -28/3, 28/3, 7/3, 0, 7, -14, 14/3, 0, -7, -28/3, -7/3, 14/3, 14/3, 14/3, 7, 0, -14, 0, 0, -7/3, 0, -7, -14/3, 28/3, -28/3, 14/3, -14/3, 0, 7, 7/3, -7, 7/3, -7/3, 0, -7/3, 35/3, 7, -14/3, 0, 7/3, 7/3, -7, -7/3, 0, -14/3, 7, 0, 7/3, 0, 0, 0, -7/3, 0, 0, 0, 7, 0, 0, -7, -7, -7/3, 0, -7/3, 7/3, -7/3, 0, -7, 0, 0, 0, 7, 0, 7, 7, 0, 0, 7, -7/3, 0, 7, -14/3, 7, 7/3, 0, 0, 0, -14/3, 7/3, 0, 0, 7/3, -14/3, -14, 0, 7/3, 7/3, 0, 7, -56/3, -14/3, -28/3, 14/3, 35/3, -7/3, 7/3, 14/3, -28/3, 7/3, 7/3, 0, 0, 7/3, 7/3, -7/3, -7, 0, 0, 14/3, 14/3, -7/3, -7/3, -14/3, 7/3, 14/3, 7/3, 0, -14/3, 14/3, -14/3, 0, 14/3, 7/3, -7/3, 7/3, -14, 0, -35/3, 0, 0, 7/3, 7/3, 7/3, 0, -7/3, 35/3, -7/3, 28/3, -7/3, 0, 7/3, 7/3, 7, 7/3, -7/3, 7/3, 14/3, 7, -7/3, -7, 0, -7/3, 35/3, 28/3, -7/3, 0, 7, 0, 14/3, 7, -7/3, 0, 0, -28/3, -14/3, 7/3, 0, -7/3, 7/3, -7/3, 0, 7, 0, 7/3, -28/3, 7/3, 14/3, 0, 0, 7/3, 0, 0, -14/3, -7/3, -14/3, -7, 7/3, 0, -14/3, 0, -7/3, 7, 7/3, -7/3, 7/3, -7/3, -7/3, 28/3, 14/3, 7/3, 0, 7/3, -28/3, 7/3, -7/3, 14/3, 0, 14/3, 7, 14/3, 0, -7/3, 7/3, -7/3, 0, 0, -7/3, -14/3, -14/3, 0, 0, 14/3, 0, 0, 28/3, -14/3, 0, 7/3, 7/3, 14/3, 14/3, 14/3, -14/3, 0, -7/3, 28/3, 7/3, -7/3, -7/3, 0, 7/3, 14/3, 14/3, -7/3, -7/3, 0, -7/3, 35/3, 77/3, -7/3, 28/3, 0, -7/3, 7/3, 7, 7/3, 7/3, 7/3, -35/3, -7/3, 7, 7, 7, 14/3, 7/3, -7/3, 0, -14/3, 7, 0, 0, 0, 14/3, -14/3, 0, 28/3, 7/3, 0, -14/3, -7, -14/3, -7, 0, 7/3, 7/3, 7, -28/3, 0, -7, 0, -7/3, -7, 28/3, -14/3, 7/3, 0, -7/3, -14/3, -7, 0, -14, -7/3, -7/3, -7/3, -14/3, 0, -7/3, 14, 14/3, 0, 28/3, 0, 7, 7/3, 0, -7/3, -7/3, -35/3, -14/3, 14/3, 7/3, 0, -14, 14/3, -14/3, -7/3, 0, 14/3, 0, 7, -28/3, 0, -14/3, 7/3, 0, 7, 7, 0, 28/3, 14/3, 0, -14/3, -7/3, -28/3, 0, -7, 0, 7/3, 14/3, -7, 0, 35/3, -28/3, -7/3, -14/3, -49/3, 7/3, -7/3, -35/3)",6247,6246,6245,370,109760/9,-116,-1,3
"(3/4, 0, 0, 3, 3/4, 0, 21/4, -3/2, 3/4, 0, -9/4, -3/4, -3/2, 0, 9/4, -9/4, -9/4, 3/2, 9/4, 9/4, -3/4, -3/4, -9/4, 0, -21/4, 21/4, -3/2, 3/2, -3/2, 15/4, 9/2, 3/4, 3, 21/4, 0, -3, 0, -9/4, 3, 0, 0, 3/4, 0, 3/2, 3/2, 0, 0, 3/2, 3/4, 3/4, -3/4, 3/4, 0, -3/4, 0, 0, 0, 3/4, -3/4, 0, 0, 9/4, 0, 9/2, -3/4, -3/4, 3, 3/4, 3/2, -3/2, 0, 0, -9/2, 3/4, -3/4, -3/4, 3/4, 0, -3/4, 3/4, -3/4, 3/4, -3/2, 3/4, 0, 3/4, 0, 0, -3/4, -3/2, 0, -9/4, -9/4, 9/4, 21/4, -9/4, 9/4, -15/4, 9/4, -3/2, -3, -3/4, 3/4, -9/4, -3, 3, -9/4, 3/4, 3/4, -3/4, -3/4, 3/2, 3/4, 3/4, 0, -9/4, 0, -3/4, 3/2, -3/4, 9/4, 3/4, 3/2, 0, 0, 0, 0, -3/4, 0, 0, -9/2, -3/2, 3/4, 3, -3/2, 9/4, -3/2, 3/2, -3, -3/2, -3/2, -3, 3, -9/4, 3/2, 3/2, -3/4, -9/2, 21/4, 3/4, -3/4, -3/4, -3/4, 6, -3/4, -3/2, 3/2, 3/4, 3/4, 0, 3, 0, 3/4, 3/4, 9/2, 0, 3/4, 3/4, 0, 3/4, 3/4, 9/4, 3/4, 0, 0, 0, 0, 0, 0, 0, 3/4, -3/2, -3/2, -6, 0, 0, -9/4, 3/4, -9/4, -3/2, -3/2, 0, -9/4, 3/4, 0, -3/4, -3/4, 0, -3/2, -3/4, 0, 0, 9/2, -3/2, 0, -9/4, 3/2, 3/2, -3/2, 3/2, 3/4, 3, 3/2, 3/4, -15/4, 3/2, -27/4, 21/4, -3, -3/4, 9/4, 9/2, 9/2, 0, -3/2, -3, 9/4, -9/2, 3/2, -3/2, -9/4, 3/4, 0, 9/2, 3/4, -3/2, 3/2, 3/4, 3, -9/4, 0, -3/2, 0, 0, 0, 0, 0, 0, -3/2, 3/4, 9/2, -3/2, 15/4, 9/2, 3, 3/2, 3/4, -27/4, 3/2, -9/4, 9/4, -3/2, -3/4, 3/2, 15/4, -9/4, -9/4, -21/4, -9/4, 0, 3/2, 21/4, 9/4, -9/4, 0, 0, 3/2, -9/4, -9/4, 9/4, 3, -3/4, 3/2, 3/2, -15/4, 0, 0, 0, 0, 0, -3/4, 0, -3/2, 3/2, 0, 9/2, 0, 0, 3, 3/4, 15/4, 3/2, 3/2, 3/4, -3/4, 3/4, 3/4, -3/4, 9/4, 0, 3/2, 3/2, -3/4, 3/4, 0, 0, 0, -3/4, 0, -3/2, 9/4, -3/4, -3/4, -3/4, 0, 0, 0, 0, 0, 0, 0, 0, -3/4, 0, -3/2, -9/4, -6, -3/2, 0, -3/4, -9/4, -3/4, 0, -3/2, 3/4, 0, -3, 3/4, 3/4, 3/4, -3/2, 0, -3/4, -3, -3, -3/4, 0, 9/4, -3/2, -3/4, 3/2, 3/2, -9/4, 3/2, 0, 3/4, -9/4, 0, -3/2, 3, -9/4, 0, -9/4, 3/4, 0, -21/4, 3/4, 0, -3, 3/4, 3/4, -3/4, 3, 0, -3/2, 0, 0, 3/2, 0, 0, 9/2, 3/2, -3/4, 3/4, -3, -3/4, 9/4, -3, 9/2, 0, 3/4, 3/4, 0, 9/4, 0, -3/4, -3/2, 9/4, -9/4, -15/4, 0, 3, -6, 3/2, 9/4, -3/4, 0, -3/2, -3/4, 0, -3/2, 3/4, 3/2, -3/4, -9/4, -3/4, 3/2, 0, 3/2, -3/4, 3/4, 3/2, 9/4, 0, 3/4, 0, 0, -3/4, 3/4, -3/2, 3/4, 3/2, 9/2, -3/2, 3/4, -3/4, 3/2, 0, -3, 3/4, 0, 0, 0, -3/4, 9/4, -9/4, 0, 0, 0, -3/4, -9/4, -3, 3, 0, -3/4, -3/4, 0, 3/4, 9/4, -3/2, 3, 3/4, 9/4, 3/4, 0, -3, -9/4, -3/4, 3/4, -15/4, 3/2, 3, -3/4, -3/2, 3, 3/2, 3/2, -3/4, -3/4, 15/4, 0, 3, 3/4, -15/2, -3)",7175,7174,7173,370,-12879/16,-113,-1,3
