"(6/157, 21/157, 18/157, 3/157, -6/157, -6/157, 39/157, -6/157, -12/157, -15/157, -39/157, -21/157, -36/157, -27/157, 3/157, -21/157, 0, -9/157, -12/157, 0, 9/157, 9/157, 0, -9/157, 3/157, -21/157, 36/157, -9/157, 0, 30/157, 21/157, -15/157, 21/157, 21/157, 27/157, 30/157, -6/157, 3/157, 18/157, 18/157, 6/157, 6/157, 0, 36/157, 18/157, -12/157, -3/157, -12/157, -12/157, 39/157, 15/157, -6/157, 18/157, 3/157, -6/157, 21/157, 3/157, 6/157, 21/157, 24/157, -9/157, -6/157, 3/157, -3/157, 0, 24/157, 9/157, -12/157, 3/157, 9/157, 6/157, 6/157, 18/157, -9/157, 15/157, 12/157, -6/157, -12/157, -6/157, -24/157, 9/157, 12/157, 12/157, -6/157, 15/157, -18/157, -9/157, -9/157, -3/157, 3/157, 33/157, -42/157, -3/157, 6/157, 18/157, 15/157, 6/157, 24/157, 0, -33/157, 3/157, 12/157, -15/157, -30/157, 0, -21/157, -3/157, 15/157, -6/157, 9/157, -30/157, 42/157, -18/157, 0, -12/157, 15/157, -36/157, -24/157, -3/157, 36/157, -6/157, 42/157, 0, -9/157, 0, 3/157, -3/157, -18/157, -6/157, 3/157, 27/157, -15/157, -12/157, 12/157, 6/157, 3/157, 81/157, 0, 0, -6/157, 0, 0, -18/157, -45/157, 0, 3/157, -12/157, 6/157, 21/157, 12/157, 6/157, 18/157, 0, 24/157, 30/157, -15/157, -12/157, -36/157, 6/157, 9/157, 6/157, -3/157, -15/157, 9/157, -12/157, 0, 6/157, 3/157, 6/157, -6/157, -12/157, -9/157, -15/157, 3/157, -3/157, -12/157, 0, 12/157, -6/157, -18/157, -18/157, 33/157, 9/157, 21/157, -3/157, 0, 0, 9/157, 9/157, 6/157, 12/157, -9/157, -30/157, 3/157, -15/157, -3/157, 3/157, 9/157, -9/157, 18/157, -9/157, 12/157, -12/157, -3/157, -3/157, 6/157, 0, 3/157, -6/157, -6/157, 3/157, 21/157, 6/157, 21/157, 9/157, -3/157, -3/157, 6/157, -3/157, -15/157, -6/157, 21/157, -3/157, -18/157, 6/157, 9/157, 12/157, 3/157, 6/157, -9/157, 33/157, 3/157, 9/157, 15/157, 9/157, 0, -9/157, 6/157, 3/157, -3/157, -12/157, -3/157, 6/157, 9/157, -6/157, -3/157, -15/157, -12/157, -9/157, -9/157, 0, 9/157, 30/157, 6/157, 0, -39/157, 0, 12/157, -36/157, -6/157, -3/157, 3/157, 3/157, 15/157, -6/157, 15/157, 0, -3/157, 3/157, -3/157, -3/157, -12/157, -6/157, 0, -3/157, -6/157, -18/157, -3/157, 0, 9/157, 24/157, -12/157, -9/157, 3/157, 15/157, 6/157, 3/157, 3/157, 3/157, -3/157, 3/157, 21/157, 3/157, -48/157, 0, -9/157, -3/157, 9/157, -9/157, 0, -3/157, 0, 0, 3/157, 21/157, 9/157, 15/157, -3/157, -21/157, -9/157, -9/157, -9/157, 12/157, 3/157, -6/157, -6/157, 0, -6/157, -3/157, -9/157, -9/157, -3/157, -21/157, 15/157, 6/157, 6/157, 6/157, 12/157, 3/157, 3/157, -15/157, 3/157, -9/157, 3/157, -21/157, -6/157, 3/157, -3/157, -3/157, -18/157, 3/157, 3/157, -36/157, -6/157, 0, 0, -6/157, 6/157, 0, -15/157, 3/157, -12/157, -6/157, 3/157, 3/157, 6/157, -21/157, 9/157, 21/157, -9/157, -3/157, 3/157, -6/157, 18/157, 6/157, -6/157, -6/157, -3/157, -15/157, 3/157, 3/157, 6/157, 18/157, 15/157, 0, -18/157, -24/157, 0, -18/157, -12/157, 3/157, -12/157, 6/157, 12/157, 3/157, -3/157, -18/157, 9/157, 0, -18/157, -18/157, -6/157, 9/157, -6/157, -9/157, -42/157, 24/157, 6/157, -27/157, -3/157, 0, -6/157, 12/157, 6/157, -9/157, 6/157, 12/157, -18/157, -6/157, 18/157, -9/157, 12/157, -6/157, -6/157, 3/157, -15/157, 12/157, -3/157, 0, 12/157, -12/157, -3/157, -9/157, 3/157, 24/157, -12/157, -6/157, 24/157, 6/157, 9/157, 3/157, 18/157, -3/157, -15/157, 0, 0, -3/157, 0, 3/157, -3/157, -24/157, -3/157, 0, -12/157, -18/157, 3/157, 6/157, 12/157, 0, -33/157, -9/157, 3/157, 6/157, 30/157, 18/157, 15/157, -15/157, -3/157, -6/157, 15/157, 12/157, 27/157, -6/157, -18/157, -6/157, -9/157, 6/157, 3/157, -15/157, -9/157, -6/157, 6/157, 27/157, -12/157, -3/157, -15/157, -9/157, 0, 0, 0, 0, -12/157, -24/157, -18/157, -3/157, 9/157, -18/157, -18/157, 15/157, -24/157, 3/157, 18/157, -6/157, 12/157, 6/157)",5080,5079,5078,444,-325863/3869893,-48,-1,4
"(25/67, 0, 15/134, -5/67, -5/134, 75/134, -25/134, -5/134, 10/67, -15/134, -15/134, -30/67, -65/67, 0, 15/134, 15/67, 0, -45/134, 0, 15/134, 10/67, 0, -15/134, 10/67, -65/134, -25/134, 10/67, -10/67, -15/67, 5/67, 10/67, 25/134, -5/134, -5/67, 0, -10/67, -5/67, 5/134, 25/134, 55/134, -65/134, -10/67, 25/134, 5/134, -35/134, -25/134, 0, 15/67, 5/67, 5/134, -5/134, 5/134, -10/67, -15/134, -25/134, -5/134, 5/134, 0, 5/67, 5/134, -25/134, 0, 10/67, 5/134, 5/134, -5/134, -5/67, 50/67, -25/134, -10/67, -25/134, 45/134, 5/67, 5/134, -35/134, -5/134, -20/67, 5/134, -5/134, -15/134, 0, -5/134, -15/67, -75/134, -15/134, 0, -5/67, 5/134, -5/134, -10/67, -35/134, -5/67, -25/134, 5/134, -75/134, -5/67, 15/134, 20/67, -35/134, 0, -35/134, 25/134, -5/134, -35/134, 10/67, -5/67, 5/67, 0, 25/134, -5/67, -40/67, -5/134, 0, 0, -15/134, -35/134, -5/134, 15/134, 5/134, -15/67, -5/67, -15/134, 5/67, -20/67, 5/134, 15/67, 0, -15/134, 0, 0, -75/134, 55/134, -10/67, -25/67, -5/134, 10/67, 15/134, 55/134, -20/67, 5/134, -10/67, -35/134, 5/134, -5/67, 5/67, -45/134, 15/134, 15/67, -15/134, 5/134, -15/67, -25/67, -5/67, 0, 5/67, -5/67, -20/67, -15/67, 5/134, -10/67, -5/67, 10/67, -5/67, 20/67, 0, -15/67, 15/67, 5/67, 25/134, 5/67, 15/134, 20/67, 15/67, 5/134, 30/67, 0, 55/134, -10/67, 0, 0, -5/134, 5/134, 5/134, -5/134, -5/67, -25/134, -35/67, 0, 15/67, 5/134, -15/134, -15/134, 0, 5/134, 15/67, -5/134, -20/67, -20/67, 10/67, 0, -5/134, -15/134, -5/67, 75/134, 10/67, -5/134, 15/67, -5/134, -75/134, 20/67, 5/134, 10/67, 35/134, 0, 35/134, -5/134, -15/134, 15/134, 35/134, -15/134, 15/134, -5/67, 15/134, 30/67, -25/67, 20/67, 5/134, -65/134, -95/134, -5/67, 15/134, -5/134, -5/134, 5/134, -15/134, 15/134, -10/67, 0, 25/67, 15/134, 5/67, 0, 25/134, 25/134, -35/134, 35/134, 10/67, -10/67, -10/67, 25/134, -15/67, -35/67, 10/67, 5/67, -25/67, -45/134, 5/134, 10/67, 25/134, -5/134, -10/67, 10/67, 5/134, 5/67, 0, 40/67, -65/134, -95/134, -15/134, -25/134, 5/67, 30/67, 15/134, -15/134, 35/134, 25/134, 15/134, 20/67, -5/134, 0, 5/67, 15/134, 10/67, -15/67, -5/134, 5/67, -75/134, -35/134, 0, -5/134, 5/67, -5/67, 45/67, -20/67, 5/67, -20/67, 5/67, 25/134, 0, -25/67, -5/134, 0, -15/134, -5/134, -5/134, -5/134, -25/134, -35/134, 95/134, 15/134, -5/67, 45/134, 5/134, 10/67, 15/67, 0, -5/134, 5/67, 15/134, 15/134, -75/134, 10/67, -5/134, -15/134, -55/134, -5/134, -25/134, -15/134, 0, 35/67, 0, 5/134, 5/67, 0, 5/134, -55/134, 5/134, -5/67, 15/67, -30/67, 5/134, 5/134, -5/67, -5/67, 35/134, 10/67, -5/134, -5/67, -5/134, 65/134, 15/67, -25/67, 20/67, -10/67, -5/67, -95/134, 0, 0, 5/134, -15/134, 5/134, -25/134, 0, -5/134, 5/67, -15/134, -15/67, 5/67, 0, -10/67, -5/134, 10/67, 5/134, 5/67, -5/67, -15/134, 20/67, 5/67, -25/134, 5/134, -10/67, -5/134, -25/134, -15/134, 65/134, -20/67, -5/67, -5/134, 15/134, -20/67, 0, -45/134, -15/134, 15/67, -25/134, 5/67, -25/67, -65/134, -5/67, -5/134, -5/134, 45/134, 15/134, 5/134, -10/67, -45/134, -45/134, -5/67, 25/67, 30/67, -20/67, 5/134, 25/134, -65/134, -25/67, 15/134, -10/67, 5/67, -5/134, 5/134, -10/67, 0, -5/67, 15/67, 5/134, 20/67, 45/134, -5/134, -5/67, 5/67, 5/67, -10/67, -5/134, -10/67, 0, -15/134, -45/134, 5/134, -5/134, 45/134, 55/134, -15/134, 55/134, -5/134, -10/67, 25/134, -25/134, -25/134, -25/134, 5/67, -5/67, 75/134, 0, -25/134, 5/67, 25/134, 5/134, 0, 25/134, 5/67, -15/67, 0, 15/67, -15/67, 25/134, -85/67, -55/134, 5/67, -10/67, 15/67, 30/67, 75/134, 5/134, 0, -5/134, 0, -15/67, -5/134, 5/67, 15/134, 10/67, 5/67, -5/134, -15/134, 25/134, -20/67, 0, -35/134, 5/134, 15/134, -10/67, -10/67, 5/67, -25/134, 25/67)",5731,5730,5729,444,766125/1203052,-51,-1,4
"(1196/3709, -345/29672, 1587/29672, -7429/29672, -437/14836, -805/14836, -12627/29672, 345/14836, -2921/29672, 10787/29672, -12673/14836, -7245/14836, -989/3709, -1817/14836, -4669/29672, -3519/14836, 4301/29672, -40319/29672, -11753/14836, 4025/29672, 5359/14836, -55821/29672, 14927/14836, 253/14836, 6601/29672, 115/3709, 1403/29672, 19895/29672, -345/7418, -529/29672, -3427/29672, -6923/14836, -391/7418, -11799/29672, -12213/29672, -1863/29672, -3703/29672, -115/7418, -5037/29672, -3864/3709, -1679/29672, -2921/14836, 1863/29672, 3565/3709, -22977/29672, -2047/29672, -9499/29672, -3795/29672, -345/29672, -23/29672, -4439/14836, 851/3709, -437/14836, -7751/14836, -3657/14836, -23/14836, -23/7418, -2875/3709, 897/3709, -115/3709, -9959/29672, -46/3709, 0, -1541/7418, -3197/29672, 161/7418, -5083/29672, -621/29672, -13501/14836, -1725/14836, -1035/7418, 0, 207/7418, -345/29672, 0, -2599/7418, -253/3709, 345/14836, -5911/29672, 2047/7418, -3243/29672, -2047/29672, -16445/29672, -23/14836, -1541/7418, 10097/29672, 1725/29672, 46/3709, -6417/14836, -851/3709, 23/29672, -13685/29672, -1403/14836, 2967/29672, -506/3709, -3151/14836, -3335/29672, -12075/14836, 161/3709, 897/29672, 6417/29672, -2001/29672, 69/3709, 19297/29672, -483/29672, 138/3709, -21137/29672, -9407/29672, 713/3709, 11707/29672, -1679/7418, 2047/3709, 8809/7418, -11753/14836, 69/29672, 2645/7418, 1771/29672, 575/14836, 18147/14836, -3427/14836, 207/14836, -161/3709, -1265/29672, -115/29672, -7291/7418, 12259/14836, -897/29672, -1541/7418, -7107/29672, -299/7418, -253/29672, 483/7418, 11201/14836, 1955/29672, 16353/29672, 23/29672, -253/29672, 437/7418, 345/7418, 15939/29672, 667/7418, 3933/14836, -16215/14836, 6233/14836, 6647/29672, 2645/29672, 1587/3709, -805/7418, 8901/29672, 57477/29672, -7521/29672, 1725/7418, -10281/7418, -3289/7418, 9361/7418, -1403/14836, -529/7418, 161/14836, -23/29672, 483/29672, -1173/29672, -6509/14836, -16445/29672, 2921/14836, -2737/14836, 989/29672, -713/29672, -4485/14836, 0, 0, -4255/29672, 4255/29672, 529/14836, 4899/29672, 3519/29672, 0, -69/29672, 4163/14836, -1403/29672, -115/14836, 2783/29672, 0, -69/3709, 989/7418, 299/29672, -2001/29672, 437/14836, -621/29672, 621/29672, 161/29672, -2507/29672, 0, -23/3709, 0, 0, 6601/29672, 0, 0, -2737/29672, -9775/29672, 1127/7418, 6693/14836, 10971/29672, 667/29672, -391/7418, 1587/7418, 6233/29672, -1081/29672, 5543/29672, -115/3709, 1403/14836, -1587/3709, -2668/3709, -161/14836, 6187/29672, -1725/14836, 5313/29672, 1771/7418, -3243/29672, 0, -2645/7418, 989/29672, -299/14836, -2231/29672, 2116/3709, -3565/29672, -8165/14836, 483/14836, -1357/29672, 23713/29672, 575/14836, -8901/14836, 989/29672, -7429/29672, -1541/14836, -2737/29672, -3427/29672, -18791/29672, -10419/14836, -69/7418, 0, 2461/14836, -851/29672, 0, 12581/14836, -10695/29672, 2967/29672, -2484/3709, 8211/29672, -3611/29672, 575/29672, -6141/29672, 15157/14836, -506/3709, 1909/29672, 207/29672, -69/29672, 69/7418, 253/14836, 69/29672, 897/7418, -4071/14836, -9959/14836, -6463/14836, 4853/14836, -483/14836, -805/3709, 69/14836, -4209/29672, 2047/14836, 943/7418, -69/3709, -1863/7418, -28267/29672, -4255/29672, -621/14836, 0, 0, 759/29672, 6141/29672, -345/14836, 5313/29672, 6095/14836, -6095/14836, -3289/14836, 4899/29672, -713/14836, 0, -23/29672, 2001/29672, -1173/29672, -207/29672, 6601/29672, 0, -23/3709, -943/14836, -1173/7418, -207/3709, 345/29672, 1633/29672, -4807/29672, 1587/29672, -69/29672, 0, -69/7418, 0, 0, 1771/14836, 0, 0, -6831/29672, -1449/29672, 483/7418, 2553/7418, 0, -437/14836, 5083/29672, -3519/14836, -2231/29672, 23/14836, -92/3709, -4485/14836, -46/3709, 437/29672, 0, -23/14836, 0, 0, 253/29672, 23/29672, 0, -2645/29672, 1633/29672, 23/29672, 46/3709, 391/14836, 5037/29672, -1541/14836, 1495/29672, 0, 69/29672, 0, 0, 1035/14836, 23/3709, 0, -3795/14836, -1357/7418, 2093/29672, 0, -3703/29672, -345/29672, 0, 897/3709, 253/3709, -161/7418, -1311/3709, -4945/14836, 4485/29672, 0, 0, 0, 69/7418, 0, 0, -1035/7418, -575/7418, 0, -3243/29672, 2369/14836, 575/29672, 345/29672, 2047/3709, -3657/14836, 207/14836, -23/7418, 759/29672, 10557/29672, -5267/14836, -23/29672, 0, -667/29672, 0, 23/14836, -713/3709, 2461/29672, -851/14836, -1242/3709, 529/14836, -943/29672, 1633/14836, -5589/29672, 7521/29672, -1173/29672, 1035/29672, -69/29672, -874/3709, 1173/29672, -207/29672, 9269/29672, 6831/29672, 851/29672, 3473/29672, -713/7418, -621/29672, 115/7418, 2737/14836, -3979/29672, 115/14836, -5037/29672, 6095/29672, -1173/29672, 69/7418, 667/3709, -1817/29672, 207/3709, 0, 0, 621/14836, -575/14836, 23/3709, -14605/29672, 7383/29672, -115/3709, -667/29672, 6417/29672, 1449/29672, 41607/29672, 6187/29672, -989/7418, -23/29672, -9913/29672, -207/14836, 759/29672, 115/14836, 12305/14836, -345/3709, 14881/29672, 12535/29672, -575/14836, 345/29672, 10879/29672, -529/14836, 161/29672, 7751/14836, -4577/29672, 1357/14836, -10005/29672, 2277/7418, -897/14836, 253/29672, 0, 0, -23/14836, -115/14836, 0, -18055/29672, -713/29672, 230/3709, 2001/29672, 437/29672, -3611/29672, 138/3709, -23/29672, -26749/29672, 1518/3709, -5313/14836, -7797/7418, 3013/29672, 161/3709, -437/29672, -69/29672, 0, -667/14836, -621/29672, 851/29672, -7751/14836, 5957/29672, -138/3709, -1265/3709, 2323/14836, 391/7418, -161/14836, 2047/29672, -7521/29672, 69/14836, -18377/29672, -943/14836, 9453/29672, 5543/29672, 1955/29672, 0, 0, -207/14836, 6739/29672)",6134,6133,6132,444,20515371123397/26124047272448,-51,-1,5
"(-15/23, -3/23, -18/23, -9/23, 15/46, 0, -3/46, 9/46, -12/23, 3/23, -12/23, 21/46, -3/46, 3/46, 3/23, 3/46, 0, -33/46, 3/23, 3/23, 9/46, 9/23, 6/23, 21/46, 33/46, 3/23, 21/46, -18/23, -3/23, -3/46, 0, 3/46, 9/23, 3/23, 27/46, 3/46, 0, 3/46, 3/46, 6/23, 0, 6/23, -3/46, -18/23, 9/46, 9/46, 6/23, -3/23, 0, 3/23, 0, 0, -15/23, -15/46, -9/46, 9/46, 9/23, -3/46, 15/46, -3/46, 6/23, -9/46, 3/23, -6/23, -21/46, -12/23, -3/46, 9/23, -3/23, 39/46, 0, -6/23, -9/46, -9/46, -3/23, 3/46, 6/23, -6/23, 9/46, 9/23, -21/46, 9/23, 0, -3/46, -6/23, -9/46, 9/46, 15/46, -15/23, -3/23, -3/46, 6/23, 12/23, 39/46, 3/23, -6/23, -15/46, -9/23, -6/23, 0, 0, 0, -3/23, -9/23, -3/23, 3/46, -9/46, 18/23, 15/46, 15/23, 15/46, -15/23, 21/46, 9/46, 3/23, -3/46, 0, -3/23, -21/46, 0, -3/46, 3/46, -3/46, 21/46, -3/23, -9/46, 6/23, -9/46, -3/46, 27/46, -3/23, 33/46, -27/46, -9/23, -9/46, 0, 3/23, 0, 33/46, 27/46, -9/46, -3/23, 9/23, 57/46, 27/23, -9/46, 9/46, -15/23, 0, -3/46, -9/46, 3/46, -12/23, 6/23, 3/23, 0, -3/46, -3/46, 0, 21/46, 0, -15/46, 6/23, 6/23, -27/46, -21/46, -9/23, 6/23, -12/23, 0, 9/46, 0, -3/23, -3/46, 15/46, 9/46, 3/46, 3/46, 9/46, 39/46, 3/23, -21/46, 15/23, -9/46, -3/23, -9/46, -3/46, 0, 3/23, 21/46, 9/46, -3/23, -3/46, -3/46, -9/46, 0, 15/46, -6/23, -3/46, -12/23, -27/46, 3/46, -12/23, 3/46, -3/46, 3/46, 0, 21/46, 21/46, -6/23, 3/23, 0, 0, 0, -3/46, 3/46, 15/23, 6/23, -9/23, 0, 0, 0, -12/23, 3/46, -3/23, -15/23, -9/46, -3/46, -39/46, 15/46, -3/23, 6/23, 3/23, 3/23, -33/46, -3/46, 3/46, 33/46, 3/23, 6/23, 9/46, -3/46, -3/23, -9/46, 0, -15/46, -21/46, -3/23, -15/46, -6/23, 6/23, 0, -27/46, -9/23, 33/46, -3/23, 9/46, 3/46, 6/23, -9/23, -3/23, -3/46, 3/23, -21/46, 9/23, 0, 0, -15/46, -3/23, -15/23, -21/46, -9/23, -3/23, 3/23, -3/23, 3/46, 3/23, 3/23, -3/23, -21/46, -6/23, -6/23, -51/46, -45/46, 9/23, -3/23, -3/23, 15/46, -12/23, -15/46, -6/23, 3/46, -6/23, -21/46, 15/46, 15/46, -12/23, 6/23, -6/23, -3/46, -9/46, -3/46, -9/46, -3/46, 3/46, 15/46, 3/46, -33/46, -9/46, -6/23, 3/23, -3/23, -12/23, 6/23, 3/46, 12/23, 3/23, 3/23, -3/46, -15/46, 9/23, 0, 3/46, -15/46, 3/46, -3/46, -3/46, -9/46, -3/23, -3/23, -9/46, 0, -21/46, -6/23, -3/46, -21/46, -12/23, 3/46, -15/23, -3/46, -6/23, 0, -21/46, -9/23, 0, 0, 9/46, 6/23, -39/46, 3/23, 21/46, 3/23, 3/46, -15/46, 6/23, -3/23, -9/46, -6/23, 0, -6/23, 9/46, 3/46, 9/46, 0, -15/46, -27/46, -12/23, 6/23, 15/46, -9/46, -3/46, -9/46, -3/23, 0, 21/46, 3/23, -3/23, -9/46, 15/46, 9/23, -3/46, 21/46, 3/46, 6/23, -9/23, -3/46, -9/46, -6/23, 27/46, 6/23, -3/46, 9/23, 3/23, 9/23, 6/23, 3/23, 3/46, -3/23, -9/46, 6/23, 9/46, 9/23, -3/46, 15/46, 9/46, 3/23, 15/46, 15/46, -3/46, 9/46, 0, -3/46, 27/46, -15/46, -9/46, 3/46, 0, 0, 3/46, 6/23, 21/23, 9/46, 15/46, 27/23, 9/46, 9/46, -15/23, 3/23, 3/46, 33/46, 3/46, 3/46, -3/46, 3/46, 3/46, 3/23, 9/46, 3/23, 12/23, 0, 0, -12/23, -3/23, -6/23, 3/46, 6/23, -15/23, 27/46, 3/46, -3/46, -3/46, 0, -15/46, -3/46, 0, -3/23, -9/46, 9/46, 39/46, 9/23, -3/46, -3/46, 9/23, -27/46, -18/23, -15/46, -3/46, -15/46, -57/46, -9/23, 3/23, 3/46, 9/46, 9/46, -3/46, 18/23, -15/46, -33/46, -12/23, 21/46, -15/46, -15/46, -3/23, 9/46, 21/46, 3/23, -21/23, 6/23, 39/46, 3/23, 9/46, 3/23, 3/23, -3/46, 51/46)",7237,7236,7235,444,-280881/97336,-48,-1,3
"(1/12, 1/48, 7/24, 1/8, 1/16, 1/48, 1/4, -1/6, 1/16, -5/48, -7/48, 1/24, -5/48, 5/24, 3/16, 0, 1/8, 1/12, -1/48, 1/16, 1/48, -1/8, 5/48, 1/24, 1/24, -5/48, 3/16, -1/48, 1/16, 1/8, -1/48, 1/24, -1/16, -1/48, -1/24, 1/16, -5/24, 11/48, -1/8, 1/24, 1/24, -1/6, -5/48, 1/8, 1/48, 1/24, 1/12, 0, 1/48, -1/8, -1/12, -11/48, 1/12, 1/48, -1/24, 1/16, 1/16, 1/6, -1/8, 1/16, 3/16, 1/48, -1/4, -1/12, -11/48, 1/16, -1/24, -1/4, 1/3, -13/48, -1/8, -1/48, 1/6, -5/24, 7/24, -1/8, 0, 5/24, 1/4, -7/24, 5/24, -1/6, 1/16, -1/48, -1/48, 1/24, 1/12, -1/48, 0, -1/12, -1/8, 1/16, 5/24, -1/12, 1/16, 1/24, 5/48, -1/8, 1/24, -1/48, 1/48, 1/24, -1/48, -1/48, -1/12, 1/16, -1/48, -1/48, 1/6, -7/48, 1/8, 11/48, -13/48, 1/6, -1/6, 5/48, 3/16, -3/16, 1/24, -5/48, 1/48, 1/16, -1/12, 0, 1/12, 1/48, -1/16, 0, -1/48, 0, -1/24, 11/48, 1/12, -1/48, 1/12, 0, 1/6, 3/16, -1/12, -1/8, -5/48, -23/48, 11/48, 5/12, 1/8, -1/4, 5/16, 5/48, 1/16, -13/48, -7/48, -5/48, 1/48, 0, 1/12, 1/24, -1/48, 1/24, 0, 1/24, 0, 1/8, -11/48, -1/6, -1/8, 5/48, -1/16, -1/8, 1/12, 1/48, 1/16, 1/12, -1/16, -1/12, -3/16, 1/24, 1/48, 1/16, -1/24, -5/48, -1/8, -1/24, -1/48, 1/16, -1/16, -5/48, 0, -1/24, -7/48, -1/12, -11/48, -5/48, 0, -5/48, -1/16, -7/48, 1/24, 0, -7/48, 1/8, 3/16, -1/16, -1/24, 1/24, -1/24, 1/16, -1/16, -1/24, -1/48, -1/16, 1/48, 1/24, 0, 0, 1/48, 1/24, -1/48, -1/24, 1/24, -5/24, 1/16, -1/48, 1/48, -1/12, 0, 0, 1/12, -1/48, -1/24, -1/48, -1/24, 3/16, -1/12, 1/8, -1/24, 7/48, 1/8, -1/12, -1/12, -1/16, -1/48, 1/48, 1/48, 0, 1/8, -1/24, -1/48, 0, 1/16, 1/48, 11/48, 1/4, -1/16, 0, 1/24, -1/8, 7/48, 0, 0, -1/24, 1/16, -7/48, -1/16, 1/24, -1/24, -1/4, 1/12, -1/24, -1/48, -7/24, -1/48, 1/48, 1/48, 0, -1/48, 1/8, -1/24, -1/8, 1/24, -1/24, -7/48, 5/48, -13/48, 0, 1/12, 1/16, -1/48, -1/48, 0, -1/16, 1/8, -1/48, -1/24, -1/6, -1/12, 1/12, 1/24, 1/48, -5/48, 0, -1/16, -1/16, 1/24, 7/48, -3/16, -1/16, -5/48, 5/24, 1/12, -1/12, -5/48, 1/48, -1/48, -11/48, -7/48, -1/8, 1/4, -1/16, 0, -1/24, 1/16, 0, -1/48, 0, 0, 1/12, 0, 1/24, 5/48, 0, -1/48, 1/48, -1/48, 1/16, 1/6, 11/48, -19/48, -5/24, -7/48, -7/48, 1/8, -1/8, -13/48, 1/3, 1/12, 1/8, -1/16, 1/24, 11/48, -1/12, 1/16, -1/8, -7/24, 13/48, -1/48, 5/48, -7/48, -7/48, 1/8, -5/48, 1/24, -1/16, -1/24, -1/16, -1/8, -5/48, 7/48, 7/48, -1/4, -5/48, 1/48, 1/24, -1/16, -1/24, -1/12, -1/48, 1/48, -1/48, 0, 1/48, -1/48, -1/48, 1/24, 0, 1/48, -1/16, -1/48, -1/48, 1/12, 1/12, 1/24, 0, 1/48, 0, 0, -1/24, 0, -1/24, 0, -1/12, -1/48, -1/48, 1/48, 1/48, 1/48, -1/16, 0, 1/48, 1/16, 0, -1/24, 1/16, 1/12, -1/12, -1/16, 1/48, -1/24, 1/24, 1/48, 1/48, 0, -1/48, 1/16, -1/24, 0, -11/48, -5/12, 11/48, -1/8, 1/24, 1/12, -1/4, 0, -1/48, -5/48, 5/48, 0, 1/48, 5/48, -1/48, 1/48, 1/48, 1/24, 1/16, 1/12, -1/48, -1/12, 0, 1/16, -5/48, -1/16, -1/12, 1/24, -1/48, 1/48, 1/48, 1/48, 1/12, 0, 1/24, -5/16, 19/48, 5/24, 5/48, -1/24, 1/24, -1/24, 5/48, 0, -5/48, -1/24, 1/48, 5/48, 5/24, 1/12, 1/8, 1/8, 1/48, 1/8, -1/48, -1/16, -3/16, 1/24, 13/48, 0, 1/16, -1/12, 1/12, 0, -1/12, 5/48, -1/24, -1/48, -1/48, 1/48)",7547,7546,7545,444,557/6144,-49,-1,3
