"(1, 0, -1, 0, -2, 0, 1, 0, 0, 0, 0, 0, -4, 0, -1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0, 0, 0, 0, 7, 1, -3, -3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 2, 1, -3, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -7, -1, 4, 2, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, -1, 7, 0, 0, -1, 0, 0, 0, 0, 0, 6, 0, 1, 0, -2, 0, 0, -2, 0, -1, 0, 0, 0, -5, 0, -1, 0, 2, 1, 0, 0, 0, 0, 0, -2, 0, 2, -5, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -5, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, -3, -4, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, -1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 1, 4, 6, 0, 0, 0, -1, 0, 0, -3, 0, 0, 2, 0, 0, 0, 0, 0, -10, 0, 0, 0, 1, -1, -1, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 2, 1, -2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -2, -1, 2, -3, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, -1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -1, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 1, -1, 3, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, -1, 0, -1, 2, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 8, 0, 0, 1, -3, 0, 0, -6, 0, 0, 4, 0, 0, 0, 2, 0, 0, -1, 0, 0, 2, 1, 0, 0, 1)",False,3849,3848,131,-17,1,False
"(481720101829865991/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 297719395994917599/366529850034440743, 184000705834948392/366529850034440743, 293802484112273232/366529850034440743, 297719395994917599/366529850034440743, 0, 297719395994917599/366529850034440743, -225814788102654462/366529850034440743, 184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 291929460998328/366529850034440743, -27735666844785456/366529850034440743, 0, 0, 0, 0, 0, -27834492409383621/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133736931685132743/366529850034440743, 1428093266124406710/366529850034440743, 30178461456000720/52361407147777249, 0, -96888812232920157/366529850034440743, -98892433850724855/366529850034440743, 252340964510128185/366529850034440743, 335032561171834695/366529850034440743, 27150917843691408/366529850034440743, 0, 145795550225663955/366529850034440743, 95730499283340183/52361407147777249, 99465326805940602/366529850034440743, 0, 37595724082973436/366529850034440743, 0, 256819411911234/366529850034440743, 528319817300007582/366529850034440743, 0, 0, 0, 103458716125228554/366529850034440743, -287679011204039937/366529850034440743, -1504981597206745551/366529850034440743, 0, -173960321044070730/366529850034440743, 1516302625193151/52361407147777249, -221160175092786585/366529850034440743, -184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10040287953568455/52361407147777249, 0, 0, 0, 0, 0, 184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 113718690159969207/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, -184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 297719395994917599/366529850034440743, 0, 0, 0, 6694014296450994/366529850034440743, 0, 0, -297719395994917599/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37178171220724830/52361407147777249, 0, 0, 0, 113718690159969207/366529850034440743, 0, -980530062290424747/366529850034440743, 0, 0, -113718690159969207/366529850034440743, 0, 0, -2370602053806732/2886061811294809, 0, -185709688607465247/366529850034440743, 159096020721307140/366529850034440743, 547412764599909693/366529850034440743, 0, -184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 720735355646119314/366529850034440743, -184000705834948392/366529850034440743, -184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 834545273419255785/366529850034440743, 184000705834948392/366529850034440743, 0, 187820375889413256/366529850034440743, -28127877177177762/366529850034440743, 82287617505693132/366529850034440743, -1118029486749856323/366529850034440743, 0, 0, -65146031955727008/366529850034440743, 624108696431800473/366529850034440743, 0, 0, -61236046344453936/366529850034440743, 0, 14154572128901790/52361407147777249, 1493909609368411707/366529850034440743, 0, 0, 0, 113718690159969207/366529850034440743, 184000705834948392/366529850034440743, -1395577375917502212/366529850034440743, 0, 297719395994917599/366529850034440743, -239106727300035453/366529850034440743, -56855351056071885/52361407147777249, -184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113718690159969207/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -832331635715411049/366529850034440743, 0, 0, -189515197063945371/366529850034440743, 300175042496680314/366529850034440743, 0, 564274794573983748/366529850034440743, -95056383181636614/366529850034440743, -493212433642679769/366529850034440743, 512564299182982026/366529850034440743, 66268198490974545/52361407147777249, 0, -19004485387757376/52361407147777249, 78083609099248236/366529850034440743, -50856544164627630/366529850034440743, -113718690159969207/366529850034440743, -325840428628665879/366529850034440743, 0, -39984451883337552/366529850034440743, -29736252166533387/366529850034440743, -224756074042567455/366529850034440743, -644740707245295942/366529850034440743, -379993274278123596/366529850034440743, -129678919601500653/52361407147777249, -118928898646544409/366529850034440743, 69775618358875005/366529850034440743, 0, 34076354079043176/366529850034440743, -385720387959036078/366529850034440743, 0, 10040287953568455/52361407147777249, -452490608917464813/366529850034440743, 0, 254921968625632929/366529850034440743, 135438966209016639/366529850034440743, -58681841439180159/52361407147777249, -12875627363626974/366529850034440743, 0, 2976171763169712/52361407147777249, -1022852721057086868/366529850034440743, -82882057105602150/366529850034440743, -602624919755887626/366529850034440743, -206730680469467268/366529850034440743, -11941941258357036/366529850034440743, -82519818263804124/52361407147777249, -383687707593785583/366529850034440743, 113718690159969207/366529850034440743, -123216321749635017/52361407147777249, 0, 184000705834948392/366529850034440743, -20497895260980336/52361407147777249, -40498701949750050/52361407147777249, -237455744581418175/366529850034440743, -297719395994917599/366529850034440743, 365134168143796407/366529850034440743, 8008402890474426/366529850034440743, 297719395994917599/366529850034440743, 0, 0, -6694504664101872/366529850034440743, 184000705834948392/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 297719395994917599/366529850034440743, 0, 6694014296450994/366529850034440743, 0, 0, 184000705834948392/366529850034440743, -6694504664101872/366529850034440743, 0, 0, 0, 0, 0, 0, -297719395994917599/366529850034440743, 0, 0, 0, 0, 0, 0, 184000705834948392/366529850034440743, 0, -471679717038988329/366529850034440743, 0, 0, 0, 6693463491330540/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 0, -297719395994917599/366529850034440743, 0, 0, 0, 0, 0, 0, 0, 0, 163919241909082371/366529850034440743, 0, 0, 0, 0, 0, 481720101829865991/366529850034440743)",False,0,0,131,0,182342856493843938790977199717223307835318520196780501/49241134176074070834823606634091315279776202512852407,False
"(0, 3/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/7, 0, 0, 0, 0, 0, 0, 0, -5/7, 0, 0, 2/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4/7, 0, 2/7, 0, 1/7, 0, 2/7, 0, 5/7, 0, 0, 2/7, 0, 1/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2/7, 0, 0, 0, 0, 0, 0, 1/7, 0, 0, -4/7, 0, -4/7, 0, 2/7, 5/7, 5/7, -6/7, 0, 0, 0, 0, -1/7, -1/7, 3/7, 4/7, 4/7, 4/7, 1/7, 0, 0, -1/7, -1/7, 0, -1/7, -1/7, 5/7, -6/7, -1/7, 5/7, 0, 0, 0, -10/7, 8/7, 0, -5/7, -2/7, -2/7, 1/7, 0, 0, 1/7, -1/7, 0, -1/7, 0, -3/7, 3/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/7, 0, 1, 0, 0, 1/7, -1, 0, 0, 1/7, 0, -3/7, 0, 2/7, 3/7, -1/7, -1/7, 0, 0, -1/7, 0, 0, -1/7, 1/7, 1/7, 3/7, 1/7, 1/7, 0, 1/7, 1/7, 0, -5/7, 0, 1/7, 3/7, -1/7, 0, 2/7, 0, -1/7, 1/7, 0, 0, 3/7, -1/7, 0, 1/7, 0, 0, 0, 0, 0, 0, 0, -3/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/7, 0, 0, 0, -1/7, 0, 0, 2/7, 0, -1/7, -1/7, 0, 0, 0, 0, 0, 0, 0, 0, 1/7, -1/7, 1/7, 0, 0, -2/7, -6/7, 4/7, -2/7, -4/7, -2/7, -2/7, -1/7, -1/7, 0, 0, 1/7, -2/7, -1/7, 1/7, -4/7, 3/7, 1/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/7, 0, 0, 0, 0, 0, -1/7, 0, 0, 0, 0, 0, -1/7, 0, 1/7, 1/7, -1/7, -1/7, 2/7, 0, 0, 2/7, -2/7, 0, 1/7, -1/7, -3/7, 2/7, -2/7, 2/7, 0, 0, 0, 1/7, -1/7, 4/7, 0, 0, 0, 0, -1/7, 2/7, 0, 0, 0, 0, 0, -3/7, 0, 0, 0, 0, 0, 0, 0, -3/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/7, 0, 0, 0, -3/7, 0, 0, 0, 0, 2/7, 2/7, 0, 0, 0, 1/7, 0, -1/7)",False,4062,4061,131,-32,-17/49,False
"(1/2, 0, 0, 0, 0, 1/2, 0, 0, 1/2, 0, 0, 0, 1/2, 0, 0, 1/2, 0, 1/2, 0, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/2, 0, 0, 0, -1/2, 0, 1/2, 0, 0, 0, 1/2, 0, 0, -1/2, 0, 1/2, 0, 1/2, -1/2, 0, 0, 0, 0, 0, 1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 0, 0, 1/2, 0, 1, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 1/2, 0, 1/2, 0, 0, 1/2, 0, 1/2, 0, 0, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/2, 0, 1/2, 0, 0, 1/2, 0, 0, 0, 0, 0, 0, 0, -1/2, 1/2, 1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 1/2, -1/2, -1/2, -1/2, -1/2, 1/2, 0, 0, 0, 1/2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1/2, 0, 0, 0, -1/2, 1/2, -1/2, 0, 0, 0, -1/2, 1/2, 0, 0, 0, 0, 0, 2, 0, -1/2, 0, 0, 0, 0, 1/2, 0, 0, 0, 0, 1/2, 0, 0, -1/2, 0, 0, 0, 1/2, 0, 1/2, -1/2, -1/2, -1/2, 0, 0, 0, -1, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1/2, 0, 0, -1/2, 0, -1/2, 0, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, -1/2, 0, 0, -1/2, 1/2, 0, 0, 0, 0, -1/2, 0, 1/2, -1/2, 0, 0, 0, 0, 0, 0, -1/2, 0, 1/2, 0, 0, 0, 0, 1/2, 0, 1/2, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 1/2, 1/2, 0, 1/2, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, -1/2, 0, 1/2, 1/2, -1/2, 0, 1/2, 1/2, 1/2, 1/2, 0, 0, 0, 0, 1/2, 0, 0, 1/2, 1/2, 0, 0, -1/2, 1/2, 0, 0, 0, -1/2, 0, 0, 0, -1/2, 1/2, 0, 1/2, 0, 0, -1/2, -1/2, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 1, 0, 0, -1/2, 1/2, 0, 0, 0, 0, 0, 0, 1/2, 0, -1/2, 1/2, 0, 0, 0, 1/2, 1/2, 0, 0, 0, -1/2, 0, 1, 1/2, 1, -1/2, 0, 0, 0, -1/2, -1/2, 0, 1/2, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 0, -1/2, 0, 0, 0, 0, 0, -1/2, 0, 0, -3/2, 0, -1, -1/2, -1/2, 0, 0, 1/2, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1/2)",False,5834,5833,131,-354,11/4,False
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2/3, 0, 0, 0, 0, 0, 0, 0, -1/3, 0, 2/3, 1/3, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, -1/3, 0, 0, 0, 0, 0, -1/3, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 0, -1/3, -2/3, -2/3, 0, 0, 0, 0, 1/3, 1/3, 0, 0, 0, 0, -1/3, 0, 0, 1/3, -1/3, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 0, -1/3, -1/3, 0, 0, 0, 0, 1/3, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/3, -2/3, 0, 0, 0, 0, 0, -1/3, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/3, 0, 0, 0, -1/3, 0, -1/3, 0, 1/3, 0, 0, 0, 0, 0, -1/3, 0, 0, 1/3, 0, 0, 0, -1/3, 0, 0, -1/3, 0, 0, 0, 0, 0, -1/3, 0, -1/3, 0, 0, 0, -1/3, 0, 0, -1/3, 1/3, 0, 0, -1/3, 1/3, -1/3, -1/3, 0, 0, 1/3, 0, -1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/3, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/3, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/3, 0, -1/3, 0, -1/3, 0, -1/3, -1/3, 0, 0, 1/3, 0, 0, 0, -2/3, 0, 0, 0, 0, 0, 0, 0, 1/3, 1/3, 0, 0, 1/3, -1/3, 0, 0, 0, 0, 0, 0, 0, -1/3, 0, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, -1/3, -1/3, 0, 0, 0, 0, 1/3, 1/3, 1/3, -1/3, -1, -2/3, 1/3, 1/3, 1/3, 0, 0, -1/3, 0, 0, 0, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 2/3, 1/3, 0, 0, 0, -1/3, -1/3, 1/3, -1/3, 0, 0, -1/3, 0, 0, 0, -1/3, -1/3, 1/3, 1/3, -1/3, 0, 0, -1/3, 0, 0, 0, 0, 1/3, 0, 1/3, -1/3, -1/3, 0, 1/3, 1/3, 0, 0, -1/3, 1/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 0, 1/3, 0, 0, -1/3, 0, -1/3, 0, -1/3, 0, 1/3, 0, -1/3, 0, 1/3, 0, 0, 0, 0, 0, 0, 0, 1/3, 1/3, 0, 0, -1/3, -1/3, 0, 0, 0, 0, 0, -1/3, 0, 0, 1/3, 0, 0, 0, 0, -1/3, 0, 0, -1/3, -1/3, 0, 0, 1/3, -1/3, 0, 0, 0, 0, 0, -1/3, -1/3, 0, 0, 0, 0, 1/3, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 2/3, 0, 0, 0, 1/3, 0, 1/3, 0, 0, -1/3, -1/3, 0, 1/3, 1, -1/3, 1/3)",False,6594,6593,131,-345,1/9,False
"(0, 0, -1/4, 0, 1/4, 0, 1/4, 0, 0, 0, 0, -1/4, 0, 0, -1/2, 1/4, 3/4, 1/4, 0, 0, 0, 0, -1/4, 1/4, 1/2, 1/4, 1/4, 0, 0, 1/4, 1/2, 0, -1/2, 1/4, 0, 0, 1/2, 0, -3/4, 1/4, 0, 1/4, 0, -1/4, -1/2, 0, 0, 0, 0, 0, -1/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/2, 0, 0, -1/4, 0, 0, -1/4, -1/2, 0, 0, 0, 0, 1/2, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, -1/2, -1/4, 1/4, 0, 0, 0, -1/4, 0, 0, -1/4, 0, 0, 1/4, 0, -1/4, 0, 1/4, 0, 0, 0, 0, 0, 0, -1/4, 0, 0, 0, 0, 0, 0, 1/4, 0, 0, 0, 0, 0, -1/4, 0, 0, 0, 0, -1/2, 0, 0, 0, 1/4, 0, 0, 0, 0, 1/2, -1/4, -1/4, 0, 0, 0, -1/4, 0, 0, 0, 0, 0, 0, -1/4, 1/4, 1/4, 1/4, -1/4, 0, 1/4, 1/4, 0, 0, 0, 0, -1/4, 0, -1/4, 0, -1/2, 1/4, -1/2, -1/2, 0, 0, -1/2, 0, 1/4, 0, 0, 0, 0, -1/4, 1/4, 1/4, 0, 0, 0, 0, 0, 0, -1/4, 0, 0, 1/4, -1/4, 0, 0, 0, 1/4, 1/4, 0, 0, 0, 0, 1/2, 1/2, 0, 0, 0, 0, 1/2, 0, 0, 0, -1/4, -1/2, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 1/2, 1/2, 1/2, 0, 0, 0, -1/4, -1/4, 0, 0, 0, -1/4, 0, 0, -1/4, 0, -1/4, 1/4, 1/2, -1/4, -1/4, 0, 1/4, 0, -1/4, -1/4, 0, -1/4, 0, -1/4, 0, 0, 1/4, 0, -1/4, 0, 0, 0, -1/2, 0, 1/4, -1/4, 0, 0, 1/2, 0, 0, -1/4, 0, -1/4, 0, -1/4, -1/2, 1/4, 3/4, 0, 0, 0, -1/4, 0, -3/4, 1/4, 0, 1/2, -1/4, 3/4, -3/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/4, 0, 0, 0, 1/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1/4, 0, 0, 0, -1/4, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 0, 0, -1/2, -3/4, 0, 0, 0, 1/4, 1/4, 3/4, 0, 0, 0, 0, 0, 0, 1/4, 0, 0, 0, 0, 0, 0, 0, 0, -1/2, 0, 0, -3/4, 0, 0, 0, 0, 1/4, 0, 0, -1/2)",False,7130,7129,131,-216,5/32,False
